age,T47,T47_sd,d18sw,d18sw_sd
3.911815625,12.989618763309142,2.9599748993109762,-7.407942523472815,0.5788102553584241
3.875,5.164387918410367,0.8918038630600994,-7.662496613206853,0.5106353107644362
3.660640625,24.309091210061418,4.153321159828466,-5.173363878212592,0.7522410974440217
3.5770410367170626,18.29223919262537,3.439015301206827,-5.671064666197985,0.6487616957478148
3.45,14.116396393105932,2.219122443259995,-7.581927514340855,0.4304485450039013
3.295773913043478,20.731255013388438,2.1083674347029184,-6.304258108639928,0.39278973668605943
3.284008696,13.902340292828589,1.0112674415925558,-6.84390946872248,0.19622803856948123
3.258873913043478,16.807350161247136,0.9657796401336304,-6.228019207296025,0.184867006343146
3.11913793103448,3.265713212982321,1.8337690373192481,-8.829550314293781,0.3831957890640547
2.9851653846153847,13.816377239855395,3.326552394569672,-6.344041431518604,0.6459341536348725
2.8810884615384618,17.613090709086183,1.7220018217303974,-5.596934740912118,0.3261880600476083
2.87415,4.46691981188807,2.2879579075951546,-8.793189435971286,0.4752014484007882
2.811703846153846,12.417155027241142,1.997916319629904,-6.960555513702546,0.39211845568836806
2.7614,4.866782337647748,5.414355541630855,-8.537278725365349,1.120254321527639
2.7518596153846153,-7.159110110820276,3.7196288113790694,-10.473823014340086,0.8411272033822742
